Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
17/3/03,Germany,1,0,0
17/3/03,Canada,8,2,0
17/3/03,Singapore,20,0,0
17/3/03,"Hong Kong SAR, China",95,1,0
17/3/03,Switzerland,2,0,0
17/3/03,Thailand,1,0,0
17/3/03,Viet Nam,40,1,0
18/3/03,Germany,2,0,0
18/3/03,Canada,8,2,0
18/3/03,China,0,0,0
18/3/03,Singapore,23,0,0
18/3/03,"Hong Kong SAR, China",123,1,0
18/3/03,"Taiwan, China",3,0,0
18/3/03,Thailand,1,0,0
18/3/03,Viet Nam,57,1,0
18/3/03,Slovenia,1,0,0
18/3/03,United Kingdom,1,0,0
19/3/03,Canada,8,2,0
19/3/03,China,0,0,0
19/3/03,Germany,1,0,0
19/3/03,"Hong Kong SAR, China",150,5,0
19/3/03,Singapore,31,0,0
19/3/03,Slovenia,1,0,0
19/3/03,Spain,1,0,0
19/3/03,"Taiwan, China",3,0,0
19/3/03,Thailand,1,0,0
19/3/03,United Kingdom,1,0,0
19/3/03,United States,11,0,0
19/3/03,Viet Nam,56,2,0
20/3/03,Canada,9,2,0
20/3/03,China,0,0,0
20/3/03,Germany,1,0,0
20/3/03,"Hong Kong SAR, China",173,6,0
20/3/03,Singapore,34,0,0
20/3/03,Slovenia,1,0,0
20/3/03,Spain,1,0,0
20/3/03,Switzerland,7,0,0
20/3/03,"Taiwan, China",4,0,0
20/3/03,Thailand,1,0,0
20/3/03,United Kingdom,2,0,0
20/3/03,United States,11,0,0
20/3/03,Viet Nam,62,2,0
21/3/03,Canada,9,2,0
21/3/03,China,0,0,0
21/3/03,Germany,1,0,0
21/3/03,"Hong Kong SAR, China",203,6,0
21/3/03,Italy,1,0,0
21/3/03,Republic of Ireland,1,0,0
21/3/03,Singapore,39,0,0
21/3/03,Slovenia,1,0,0
21/3/03,Spain,1,0,0
21/3/03,Switzerland,7,0,0
21/3/03,"Taiwan, China",6,0,0
21/3/03,Thailand,4,0,0
21/3/03,United Kingdom,2,0,0
21/3/03,United States,13,0,0
21/3/03,Viet Nam,62,2,0
22/3/03,Canada,9,2,0
22/3/03,China,0,0,0
22/3/03,Germany,2,0,0
22/3/03,"Hong Kong SAR, China",222,7,0
22/3/03,Italy,2,0,0
22/3/03,Republic of Ireland,1,0,0
22/3/03,Singapore,44,0,0
22/3/03,Slovenia,1,0,0
22/3/03,Spain,1,0,0
22/3/03,Switzerland,7,0,0
22/3/03,"Taiwan, China",6,0,0
22/3/03,Thailand,4,0,0
22/3/03,United Kingdom,2,0,0
22/3/03,United States,22,0,0
22/3/03,Viet Nam,63,2,0
24/3/03,Canada,11,3,0
24/3/03,China,0,0,0
24/3/03,France,1,0,0
24/3/03,Germany,4,0,0
24/3/03,"Hong Kong SAR, China",260,10,0
24/3/03,Italy,2,0,0
24/3/03,Republic of Ireland,1,0,0
24/3/03,Singapore,65,0,0
24/3/03,Spain,1,0,0
24/3/03,Switzerland,2,0,0
24/3/03,"Taiwan, China",6,0,0
24/3/03,Thailand,5,0,0
24/3/03,United Kingdom,3,0,0
24/3/03,United States,37,0,0
24/3/03,Viet Nam,58,4,0
25/3/03,Canada,11,3,0
25/3/03,China,0,0,0
25/3/03,France,1,0,0
25/3/03,Germany,4,0,0
25/3/03,"Hong Kong SAR, China",286,10,0
25/3/03,Italy,2,0,0
25/3/03,Republic of Ireland,1,0,0
25/3/03,Singapore,69,0,0
25/3/03,Switzerland,2,0,0
25/3/03,"Taiwan, China",6,0,0
25/3/03,Thailand,5,0,0
25/3/03,United Kingdom,3,0,0
25/3/03,United States,39,0,0
25/3/03,Viet Nam,58,4,0
26/3/03,Canada,19,3,0
26/3/03,China,792,31,0
26/3/03,"Hong Kong SAR, China",316,10,0
26/3/03,"Taiwan, China",6,0,0
26/3/03,France,1,0,0
26/3/03,Germany,4,0,0
26/3/03,Italy,3,0,0
26/3/03,Republic of Ireland,2,0,0
26/3/03,Singapore,74,1,0
26/3/03,Switzerland,2,0,0
26/3/03,Thailand,3,0,0
26/3/03,United Kingdom,3,0,0
26/3/03,United States,40,0,0
26/3/03,Viet Nam,58,4,0
27/3/03,Canada,28,3,0
27/3/03,China,806,34,0
27/3/03,"Hong Kong SAR, China",367,10,0
27/3/03,"Taiwan, China",6,0,0
27/3/03,France,1,0,0
27/3/03,Germany,4,0,0
27/3/03,Italy,2,0,0
27/3/03,Republic of Ireland,2,0,0
27/3/03,Romania,3,0,0
27/3/03,Singapore,78,2,0
27/3/03,Switzerland,2,0,0
27/3/03,Thailand,3,0,0
27/3/03,United Kingdom,3,0,0
27/3/03,United States,45,0,0
27/3/03,Viet Nam,58,4,0
28/3/03,Canada,29,3,0
28/3/03,China,806,34,0
28/3/03,"Hong Kong SAR, China",425,10,0
28/3/03,"Taiwan, China",10,0,0
28/3/03,France,1,0,0
28/3/03,Germany,4,0,0
28/3/03,Italy,2,0,0
28/3/03,Republic of Ireland,2,0,0
28/3/03,Romania,3,0,0
28/3/03,Singapore,86,2,0
28/3/03,Switzerland,2,0,0
28/3/03,Thailand,3,0,0
28/3/03,United Kingdom,3,0,0
28/3/03,United States,51,0,0
28/3/03,Viet Nam,58,4,0
29/3/03,Canada,37,3,0
29/3/03,China,806,34,0
29/3/03,"Hong Kong SAR, China",470,10,0
29/3/03,"Taiwan, China",10,0,0
29/3/03,France,1,0,0
29/3/03,Germany,4,0,0
29/3/03,Italy,2,0,0
29/3/03,Republic of Ireland,2,0,0
29/3/03,Romania,3,0,0
29/3/03,Singapore,89,2,0
29/3/03,Switzerland,3,0,0
29/3/03,Thailand,3,1,0
29/3/03,United Kingdom,3,0,0
29/3/03,United States,59,0,0
29/3/03,Viet Nam,58,4,0
31/3/03,Canada,44,4,0
31/3/03,China,806,34,0
31/3/03,"Hong Kong SAR, China",530,13,0
31/3/03,"Taiwan, China",10,0,0
31/3/03,France,1,0,0
31/3/03,Germany,5,0,0
31/3/03,Italy,2,0,0
31/3/03,Republic of Ireland,2,0,0
31/3/03,Romania,3,0,0
31/3/03,Singapore,91,2,0
31/3/03,Switzerland,3,0,0
31/3/03,Thailand,5,1,0
31/3/03,United Kingdom,3,0,0
31/3/03,United States,59,0,0
31/3/03,Viet Nam,58,4,0
1/4/03,Australia,1,0,0
1/4/03,Belgium,1,0,0
1/4/03,Canada,53,4,0
1/4/03,China,806,34,0
1/4/03,"Hong Kong SAR, China",685,16,0
1/4/03,"Taiwan, China",13,0,0
1/4/03,France,1,0,0
1/4/03,Germany,5,0,0
1/4/03,Italy,3,0,0
1/4/03,Republic of Ireland,2,0,0
1/4/03,Romania,3,0,0
1/4/03,Singapore,92,3,0
1/4/03,Switzerland,3,0,0
1/4/03,Thailand,6,1,0
1/4/03,United Kingdom,3,0,0
1/4/03,United States,69,0,0
1/4/03,Viet Nam,58,4,0
2/4/03,Australia,1,0,0
2/4/03,Belgium,1,0,0
2/4/03,Canada,58,6,0
2/4/03,China,1190,46,0
2/4/03,"Hong Kong SAR, China",708,16,0
2/4/03,"Taiwan, China",13,0,0
2/4/03,France,1,0,0
2/4/03,Germany,5,0,0
2/4/03,Italy,3,0,0
2/4/03,Republic of Ireland,2,0,0
2/4/03,Romania,3,0,0
2/4/03,Singapore,95,4,0
2/4/03,Spain,1,0,0
2/4/03,Switzerland,2,0,0
2/4/03,Thailand,7,2,0
2/4/03,United Kingdom,3,0,0
2/4/03,United States,72,0,0
2/4/03,Viet Nam,58,4,0
3/4/03,Australia,1,0,0
3/4/03,Belgium,1,0,0
3/4/03,Brazil,1,0,0
3/4/03,Canada,62,6,0
3/4/03,China,1190,46,0
3/4/03,"Hong Kong SAR, China",734,17,0
3/4/03,"Taiwan, China",14,0,0
3/4/03,France,3,0,0
3/4/03,Germany,5,0,0
3/4/03,Italy,3,0,0
3/4/03,Republic of Ireland,1,0,0
3/4/03,Romania,1,0,0
3/4/03,Singapore,98,4,0
3/4/03,Switzerland,2,0,0
3/4/03,Thailand,7,2,0
3/4/03,United Kingdom,3,0,0
3/4/03,United States,85,0,0
3/4/03,Viet Nam,59,4,0
4/4/03,Australia,1,0,0
4/4/03,Belgium,1,0,0
4/4/03,Brazil,1,0,0
4/4/03,Canada,69,7,0
4/4/03,China,1220,49,0
4/4/03,"Hong Kong SAR, China",761,17,0
4/4/03,"Taiwan, China",15,0,0
4/4/03,France,3,0,0
4/4/03,Germany,5,0,0
4/4/03,Italy,3,0,0
4/4/03,Republic of Ireland,1,0,0
4/4/03,Romania,1,0,0
4/4/03,Singapore,100,5,0
4/4/03,Spain,1,0,0
4/4/03,Switzerland,2,0,0
4/4/03,Thailand,7,2,0
4/4/03,United Kingdom,3,0,0
4/4/03,United States,100,0,0
4/4/03,Viet Nam,59,4,0
5/4/03,Australia,1,0,0
5/4/03,Belgium,1,0,0
5/4/03,Brazil,1,0,0
5/4/03,Canada,74,7,0
5/4/03,China,1220,49,0
5/4/03,"Hong Kong SAR, China",800,20,0
5/4/03,"Taiwan, China",17,0,0
5/4/03,France,3,0,0
5/4/03,Germany,5,0,0
5/4/03,Italy,3,0,0
5/4/03,Malaysia,1,1,0
5/4/03,Republic of Ireland,1,0,0
5/4/03,Romania,1,0,0
5/4/03,Singapore,101,6,0
5/4/03,Spain,1,0,0
5/4/03,Switzerland,1,0,0
5/4/03,Thailand,7,2,0
5/4/03,United Kingdom,4,0,0
5/4/03,United States,115,0,0
5/4/03,Viet Nam,59,4,0
7/4/03,Australia,1,0,0
7/4/03,Brazil,1,0,0
7/4/03,Canada,90,9,0
7/4/03,China,1268,53,0
7/4/03,"Hong Kong SAR, China",883,23,0
7/4/03,"Taiwan, China",21,0,0
7/4/03,France,3,0,0
7/4/03,Germany,5,0,0
7/4/03,Italy,3,0,0
7/4/03,Malaysia,1,1,0
7/4/03,Republic of Ireland,1,0,0
7/4/03,Romania,1,0,0
7/4/03,Singapore,106,6,0
7/4/03,Spain,1,0,0
7/4/03,Switzerland,1,0,0
7/4/03,Thailand,7,2,0
7/4/03,United Kingdom,5,0,0
7/4/03,United States,141,0,0
7/4/03,Viet Nam,62,4,0
8/4/03,Australia,1,0,0
8/4/03,Brazil,1,0,0
8/4/03,Canada,91,10,0
8/4/03,China,1279,53,0
8/4/03,"Hong Kong SAR, China",928,25,0
8/4/03,"Taiwan, China",19,0,0
8/4/03,France,4,0,0
8/4/03,Germany,5,0,0
8/4/03,Italy,3,0,0
8/4/03,Malaysia,1,1,0
8/4/03,Republic of Ireland,1,0,0
8/4/03,Romania,1,0,0
8/4/03,Singapore,113,8,0
8/4/03,Spain,1,0,0
8/4/03,Switzerland,1,0,0
8/4/03,Thailand,7,2,0
8/4/03,United Kingdom,5,0,0
8/4/03,United States,148,0,0
8/4/03,Viet Nam,62,4,0
9/4/03,Brazil,1,0,0
9/4/03,Canada,94,10,0
9/4/03,China,1280,53,0
9/4/03,"Hong Kong SAR, China",970,27,0
9/4/03,"Taiwan, China",19,0,0
9/4/03,France,4,0,0
9/4/03,Germany,5,0,0
9/4/03,Italy,3,0,0
9/4/03,Malaysia,1,1,0
9/4/03,Republic of Ireland,1,0,0
9/4/03,Romania,1,0,0
9/4/03,Singapore,118,9,0
9/4/03,Spain,1,0,0
9/4/03,Switzerland,1,0,0
9/4/03,Thailand,7,2,0
9/4/03,United Kingdom,5,0,0
9/4/03,United States,149,0,0
9/4/03,Viet Nam,62,4,0
10/4/03,Brazil,2,0,0
10/4/03,Canada,97,10,22
10/4/03,China,1290,55,1025
10/4/03,"Hong Kong SAR, China",998,30,154
10/4/03,"Taiwan, China",19,0,5
10/4/03,France,4,0,0
10/4/03,Germany,6,0,2
10/4/03,Italy,3,0,1
10/4/03,Kuwait,1,0,0
10/4/03,Malaysia,3,1,0
10/4/03,Republic of Ireland,1,0,1
10/4/03,Romania,1,0,0
10/4/03,Singapore,126,9,75
10/4/03,Spain,1,0,0
10/4/03,Switzerland,1,0,1
10/4/03,Thailand,7,2,5
10/4/03,United Kingdom,5,0,3
10/4/03,United States,154,0,0
10/4/03,Viet Nam,62,4,43
11/4/03,Brazil,2,0,0
11/4/03,Canada,98,10,25
11/4/03,China,1309,58,1037
11/4/03,"Hong Kong SAR, China",1059,32,169
11/4/03,"Taiwan, China",21,0,6
11/4/03,France,5,0,0
11/4/03,Germany,6,0,4
11/4/03,Italy,3,0,2
11/4/03,Japan,4,0,0
11/4/03,Kuwait,1,0,0
11/4/03,Malaysia,4,1,0
11/4/03,Republic of Ireland,1,0,1
11/4/03,Romania,1,0,0
11/4/03,Singapore,133,9,77
11/4/03,South Africa,1,0,0
11/4/03,Spain,1,0,0
11/4/03,Switzerland,1,0,1
11/4/03,Thailand,7,2,5
11/4/03,United Kingdom,5,0,3
11/4/03,United States,166,0,0
11/4/03,Viet Nam,62,4,43
12/4/03,Brazil,2,0,0
12/4/03,Canada,101,10,26
12/4/03,China,1309,58,1037
12/4/03,"Hong Kong SAR, China",1108,35,215
12/4/03,"Taiwan, China",23,0,7
12/4/03,France,5,0,1
12/4/03,Germany,6,0,4
12/4/03,Italy,3,0,2
12/4/03,Japan,4,0,0
12/4/03,Kuwait,1,0,0
12/4/03,Malaysia,4,1,0
12/4/03,Republic of Ireland,1,0,1
12/4/03,Romania,1,0,0
12/4/03,Singapore,147,9,77
12/4/03,South Africa,1,0,0
12/4/03,Spain,1,0,0
12/4/03,Switzerland,1,0,1
12/4/03,Thailand,8,2,5
12/4/03,United Kingdom,6,0,3
12/4/03,United States,166,0,0
12/4/03,China,62,4,46
14/4/03,Brazil,2,0,0
14/4/03,Canada,100,13,27
14/4/03,China,1418,64,1088
14/4/03,"Hong Kong SAR, China",1190,47,229
14/4/03,"Taiwan, China",23,0,7
14/4/03,France,5,0,1
14/4/03,Germany,6,0,4
14/4/03,Indonesia,1,0,0
14/4/03,Italy,3,0,2
14/4/03,Kuwait,1,0,0
14/4/03,Malaysia,4,1,0
14/4/03,Philippines,1,0,1
14/4/03,Republic of Ireland,1,0,1
14/4/03,Romania,1,0,0
14/4/03,Singapore,158,12,84
14/4/03,South Africa,1,0,0
14/4/03,Spain,1,0,0
14/4/03,Sweden,1,0,0
14/4/03,Switzerland,1,0,1
14/4/03,Thailand,8,2,5
14/4/03,United Kingdom,6,0,3
14/4/03,United States,174,0,0
14/4/03,Viet Nam,63,5,46
15/4/03,Brazil,2,0,0
15/4/03,Canada,100,13,27
15/4/03,China,1418,64,1088
15/4/03,"Hong Kong SAR, China",1232,56,243
15/4/03,"Taiwan, China",23,0,7
15/4/03,France,5,0,1
15/4/03,Germany,6,0,4
15/4/03,Indonesia,1,0,0
15/4/03,Italy,3,0,2
15/4/03,Japan,1,0,0
15/4/03,Kuwait,1,0,0
15/4/03,Malaysia,4,1,0
15/4/03,Philippines,1,0,1
15/4/03,Republic of Ireland,1,0,1
15/4/03,Romania,1,0,1
15/4/03,Singapore,162,13,85
15/4/03,South Africa,1,0,0
15/4/03,Spain,1,0,0
15/4/03,Sweden,1,0,0
15/4/03,Switzerland,1,0,1
15/4/03,Thailand,8,2,5
15/4/03,United Kingdom,6,0,3
15/4/03,United States,193,0,0
15/4/03,Viet Nam,63,5,46
16/4/03,Brazil,2,0,0
16/4/03,Canada,103,13,37
16/4/03,China,1432,64,1094
16/4/03,"Hong Kong SAR, China",1268,61,257
16/4/03,"Taiwan, China",27,0,10
16/4/03,France,5,0,1
16/4/03,Germany,6,0,4
16/4/03,Indonesia,1,0,0
16/4/03,Italy,3,0,2
16/4/03,Japan,1,0,0
16/4/03,Kuwait,1,0,0
16/4/03,Malaysia,5,1,0
16/4/03,Philippines,1,0,1
16/4/03,Republic of Ireland,1,0,1
16/4/03,Romania,1,0,1
16/4/03,Singapore,162,13,85
16/4/03,South Africa,1,0,0
16/4/03,Spain,1,0,0
16/4/03,Sweden,1,0,0
16/4/03,Switzerland,1,0,1
16/4/03,Thailand,8,2,5
16/4/03,United Kingdom,6,0,3
16/4/03,United States,193,0,0
16/4/03,Viet Nam,63,5,46
17/4/03,Australia,3,0,3
17/4/03,Brazil,2,0,0
17/4/03,Canada,126,12,46
17/4/03,China,1457,65,1107
17/4/03,"Hong Kong SAR, China",1297,65,272
17/4/03,"Taiwan, China",27,0,10
17/4/03,France,5,0,1
17/4/03,Germany,6,0,4
17/4/03,India,1,0,0
17/4/03,Indonesia,1,0,0
17/4/03,Italy,3,0,2
17/4/03,Japan,2,0,0
17/4/03,Kuwait,1,0,0
17/4/03,Malaysia,5,1,0
17/4/03,Mongolia,3,0,3
17/4/03,Philippines,1,0,1
17/4/03,Republic of Ireland,1,0,1
17/4/03,Romania,1,0,1
17/4/03,Singapore,167,15,91
17/4/03,South Africa,1,0,0
17/4/03,Spain,1,0,0
17/4/03,Sweden,1,0,0
17/4/03,Switzerland,1,0,1
17/4/03,Thailand,8,2,5
17/4/03,United Kingdom,6,0,3
17/4/03,United States,199,0,0
17/4/03,Viet Nam,63,5,46
18/4/03,Australia,3,0,3
18/4/03,Brazil,2,0,0
18/4/03,Canada,132,12,54
18/4/03,China,1512,65,1140
18/4/03,"Hong Kong SAR, China",1358,81,363
18/4/03,"Taiwan, China",29,0,17
18/4/03,France,5,0,1
18/4/03,Germany,6,0,4
18/4/03,India,1,0,1
18/4/03,Indonesia,1,0,0
18/4/03,Italy,3,0,2
18/4/03,Japan,4,0,0
18/4/03,Kuwait,1,0,0
18/4/03,Malaysia,5,1,0
18/4/03,Mongolia,3,0,3
18/4/03,Philippines,1,0,1
18/4/03,Republic of Ireland,1,0,1
18/4/03,Romania,1,0,1
18/4/03,Singapore,177,16,100
18/4/03,South Africa,1,0,0
18/4/03,Spain,1,0,0
18/4/03,Sweden,3,0,0
18/4/03,Switzerland,1,0,1
18/4/03,Thailand,7,2,6
18/4/03,United Kingdom,6,0,5
18/4/03,United States,220,0,0
18/4/03,Viet Nam,63,5,46
19/4/03,Australia,3,0,3
19/4/03,Brazil,2,0,0
19/4/03,Canada,132,12,54
19/4/03,China,1512,65,1140
19/4/03,"Hong Kong SAR, China",1358,81,363
19/4/03,"Taiwan, China",29,0,17
19/4/03,France,5,0,1
19/4/03,Germany,6,0,4
19/4/03,India,1,0,1
19/4/03,Indonesia,1,0,0
19/4/03,Italy,3,0,2
19/4/03,Japan,4,0,0
19/4/03,Kuwait,1,0,0
19/4/03,Malaysia,5,1,0
19/4/03,Mongolia,3,0,3
19/4/03,Philippines,1,0,1
19/4/03,Republic of Ireland,1,0,1
19/4/03,Romania,1,0,1
19/4/03,Singapore,177,16,100
19/4/03,South Africa,1,0,0
19/4/03,Spain,1,0,0
19/4/03,Sweden,3,0,0
19/4/03,Switzerland,1,0,1
19/4/03,Thailand,7,2,6
19/4/03,United Kingdom,6,0,5
19/4/03,United States,220,0,0
19/4/03,Viet Nam,63,5,46
21/4/03,Australia,3,0,3
21/4/03,Brazil,2,0,0
21/4/03,Canada,132,12,54
21/4/03,China,1959,86,1187
21/4/03,"Hong Kong SAR, China",1402,94,436
21/4/03,"Taiwan, China",29,0,17
21/4/03,France,5,0,1
21/4/03,Germany,6,0,4
21/4/03,India,1,0,1
21/4/03,Indonesia,1,0,0
21/4/03,Italy,3,0,2
21/4/03,Japan,5,0,0
21/4/03,Kuwait,1,0,1
21/4/03,Malaysia,6,1,0
21/4/03,Mongolia,3,0,3
21/4/03,Philippines,2,1,1
21/4/03,Republic of Ireland,1,0,1
21/4/03,Romania,1,0,1
21/4/03,Singapore,178,16,104
21/4/03,South Africa,1,0,0
21/4/03,Spain,1,0,0
21/4/03,Sweden,3,0,0
21/4/03,Switzerland,1,0,1
21/4/03,Thailand,7,2,5
21/4/03,United Kingdom,6,0,5
21/4/03,United States,39,0,0
21/4/03,Viet Nam,63,5,46
22/4/03,Australia,3,0,3
22/4/03,Brazil,2,0,0
22/4/03,Canada,139,13,65
22/4/03,China,2001,92,1201
22/4/03,"Hong Kong SAR, China",1434,99,461
22/4/03,"Taiwan, China",29,0,21
22/4/03,France,5,0,1
22/4/03,Germany,7,0,6
22/4/03,India,1,0,1
22/4/03,Indonesia,1,0,0
22/4/03,Italy,3,0,2
22/4/03,Japan,2,0,0
22/4/03,Kuwait,1,0,1
22/4/03,Malaysia,6,1,0
22/4/03,Mongolia,3,0,3
22/4/03,Philippines,2,1,1
22/4/03,Republic of Ireland,1,0,1
22/4/03,Romania,1,0,1
22/4/03,Singapore,186,16,110
22/4/03,South Africa,1,0,0
22/4/03,Spain,1,0,0
22/4/03,Sweden,3,0,0
22/4/03,Switzerland,1,0,1
22/4/03,Thailand,7,2,5
22/4/03,United Kingdom,6,0,5
22/4/03,United States,38,0,0
22/4/03,Viet Nam,63,5,46
23/4/03,Australia,4,0,3
23/4/03,Brazil,2,0,0
23/4/03,Canada,140,13,65
23/4/03,China,2305,106,1231
23/4/03,"Hong Kong SAR, China",1458,105,522
23/4/03,"Taiwan, China",37,0,21
23/4/03,France,5,0,1
23/4/03,Germany,7,0,6
23/4/03,India,1,0,1
23/4/03,Indonesia,1,0,0
23/4/03,Italy,3,0,2
23/4/03,Japan,2,0,0
23/4/03,Kuwait,1,0,1
23/4/03,Malaysia,5,2,2
23/4/03,Mongolia,3,0,3
23/4/03,Philippines,2,1,1
23/4/03,Republic of Ireland,1,0,1
23/4/03,Romania,1,0,1
23/4/03,Singapore,189,17,114
23/4/03,South Africa,1,0,0
23/4/03,Spain,1,0,0
23/4/03,Sweden,3,0,0
23/4/03,Switzerland,1,0,1
23/4/03,Thailand,7,2,5
23/4/03,United Kingdom,6,0,5
23/4/03,United States,39,0,0
23/4/03,Viet Nam,63,5,46
24/4/03,Brazil,2,0,2
24/4/03,Bulgaria,1,0,0
24/4/03,Canada,140,15,67
24/4/03,China,2422,110,1254
24/4/03,"Hong Kong SAR, China",1488,109,567
24/4/03,"Taiwan, China",37,0,21
24/4/03,France,5,0,1
24/4/03,Germany,7,0,6
24/4/03,India,1,0,1
24/4/03,Indonesia,1,0,1
24/4/03,Italy,4,0,3
24/4/03,Japan,2,0,0
24/4/03,Kuwait,1,0,1
24/4/03,Malaysia,5,2,2
24/4/03,Mongolia,3,0,3
24/4/03,Philippines,2,1,1
24/4/03,Republic of Ireland,1,0,1
24/4/03,Romania,1,0,1
24/4/03,Singapore,192,19,118
24/4/03,South Africa,1,0,0
24/4/03,Spain,1,0,1
24/4/03,Sweden,3,0,2
24/4/03,Switzerland,1,0,1
24/4/03,Thailand,8,2,5
24/4/03,United Kingdom,6,0,6
24/4/03,United States,37,0,0
24/4/03,Viet Nam,63,5,49
25/4/03,Brazil,2,0,2
25/4/03,Bulgaria,1,0,0
25/4/03,Canada,140,15,74
25/4/03,China,2601,115,1277
25/4/03,"Hong Kong SAR, China",1510,115,614
25/4/03,"Taiwan, China",41,0,21
25/4/03,France,5,0,1
25/4/03,Germany,7,0,6
25/4/03,India,1,0,1
25/4/03,Indonesia,1,0,1
25/4/03,Italy,4,0,3
25/4/03,Japan,2,0,0
25/4/03,Kuwait,1,0,1
25/4/03,Malaysia,5,2,2
25/4/03,Mongolia,3,0,3
25/4/03,Philippines,2,1,1
25/4/03,Republic of Ireland,1,0,1
25/4/03,Romania,1,0,1
25/4/03,Singapore,195,19,126
25/4/03,South Africa,1,0,0
25/4/03,Spain,1,0,1
25/4/03,Sweden,3,0,2
25/4/03,Switzerland,1,0,1
25/4/03,Thailand,8,2,5
25/4/03,United Kingdom,6,0,6
25/4/03,United States,39,0,0
25/4/03,Viet Nam,63,5,53
26/4/03,Brazil,2,0,2
26/4/03,Bulgaria,1,0,0
26/4/03,Canada,142,18,77
26/4/03,China,2753,122,1285
26/4/03,"Hong Kong SAR, China",1527,121,632
26/4/03,"Taiwan, China",49,0,25
26/4/03,France,5,0,1
26/4/03,Germany,7,0,6
26/4/03,India,1,0,1
26/4/03,Indonesia,1,0,1
26/4/03,Italy,4,0,3
26/4/03,Japan,2,0,0
26/4/03,Kuwait,1,0,1
26/4/03,Malaysia,5,2,2
26/4/03,Mongolia,5,0,3
26/4/03,Philippines,4,2,1
26/4/03,Republic of Ireland,1,0,1
26/4/03,Romania,1,0,1
26/4/03,Singapore,198,21,126
26/4/03,South Africa,1,0,0
26/4/03,Spain,1,0,1
26/4/03,Sweden,3,0,2
26/4/03,Switzerland,1,0,1
26/4/03,Thailand,7,2,5
26/4/03,United Kingdom,6,0,6
26/4/03,United States,41,0,0
26/4/03,Viet Nam,63,5,53
28/4/03,Brazil,2,0,2
28/4/03,Bulgaria,1,0,0
28/4/03,Canada,142,18,77
28/4/03,China,2914,131,1299
28/4/03,"Hong Kong SAR, China",1557,138,710
28/4/03,"Taiwan, China",66,0,25
28/4/03,France,5,0,1
28/4/03,Germany,7,0,6
28/4/03,India,1,0,1
28/4/03,Indonesia,1,0,1
28/4/03,Italy,8,0,3
28/4/03,Japan,2,0,0
28/4/03,Kuwait,1,0,1
28/4/03,Malaysia,6,2,2
28/4/03,Mongolia,5,0,3
28/4/03,Philippines,4,2,1
28/4/03,Republic of Ireland,1,0,1
28/4/03,Romania,1,0,1
28/4/03,Singapore,199,23,137
28/4/03,South Africa,1,0,0
28/4/03,Spain,1,0,1
28/4/03,Sweden,3,0,2
28/4/03,Switzerland,1,0,1
28/4/03,Thailand,7,2,5
28/4/03,United Kingdom,6,0,6
28/4/03,United States,41,0,0
28/4/03,Viet Nam,63,5,53
29/4/03,Brazil,2,0,2
29/4/03,Bulgaria,1,0,0
29/4/03,Canada,146,20,86
29/4/03,China,3303,148,1322
29/4/03,"Hong Kong SAR, China",1572,150,759
29/4/03,"Taiwan, China",66,0,25
29/4/03,France,5,0,1
29/4/03,Germany,7,0,6
29/4/03,India,1,0,1
29/4/03,Indonesia,1,0,1
29/4/03,Italy,9,0,4
29/4/03,Japan,2,0,0
29/4/03,Kuwait,1,0,1
29/4/03,Malaysia,6,2,3
29/4/03,Mongolia,5,0,3
29/4/03,Philippines,4,2,1
29/4/03,Republic of Ireland,1,0,1
29/4/03,Republic of Korea,1,0,0
29/4/03,Romania,1,0,1
29/4/03,Singapore,201,24,139
29/4/03,South Africa,1,0,0
29/4/03,Spain,1,0,1
29/4/03,Sweden,3,0,2
29/4/03,Switzerland,1,0,1
29/4/03,Thailand,7,2,5
29/4/03,United Kingdom,6,0,6
29/4/03,United States,41,0,0
29/4/03,Viet Nam,63,5,53
30/4/03,Brazil,2,0,2
30/4/03,Bulgaria,1,0,0
30/4/03,Canada,148,20,87
30/4/03,China,3460,159,1332
30/4/03,"Hong Kong SAR, China",1589,157,791
30/4/03,"Macao SAR, China",1,0,0
30/4/03,"Taiwan, China",78,1,25
30/4/03,France,5,0,1
30/4/03,Germany,7,0,7
30/4/03,Indonesia,2,0,1
30/4/03,Italy,9,0,4
30/4/03,Japan,2,0,0
30/4/03,Kuwait,1,0,1
30/4/03,Malaysia,6,2,3
30/4/03,Mongolia,6,0,3
30/4/03,Philippines,4,2,1
30/4/03,Republic of Ireland,1,0,1
30/4/03,Republic of Korea,1,0,0
30/4/03,Romania,1,0,1
30/4/03,Singapore,201,24,139
30/4/03,South Africa,1,0,0
30/4/03,Spain,1,0,1
30/4/03,Sweden,3,0,2
30/4/03,Switzerland,1,0,1
30/4/03,Thailand,7,2,5
30/4/03,United Kingdom,6,0,6
30/4/03,United States,52,0,0
30/4/03,Viet Nam,63,5,53
1/5/03,Brazil,2,0,2
1/5/03,Bulgaria,1,0,0
1/5/03,Canada,147,20,87
1/5/03,China,3638,170,1351
1/5/03,"Hong Kong SAR, China",1600,162,834
1/5/03,"Macao SAR, China",1,0,0
1/5/03,"Taiwan, China",89,3,25
1/5/03,France,5,0,1
1/5/03,Germany,7,0,7
1/5/03,Indonesia,2,0,1
1/5/03,Italy,9,0,4
1/5/03,Japan,2,0,0
1/5/03,Kuwait,1,0,1
1/5/03,Malaysia,6,2,3
